Site;Fence;Gap;Species;H11;D11
3;Exclosure;Dark;Acer;72;8.7
3;Exclosure;Dark;Tilia;55.5;7.2
3;Exclosure;Dark;Acer;81;7
3;Exclosure;Dark;Acer;86;8
3;Exclosure;Dark;Tilia;62.5;6
3;Exclosure;Dark;Carpinus;26;4.7
3;Exclosure;Dark;Tilia;51;7.3
3;Exclosure;Dark;Acer;50;5.9
3;Exclosure;Dark;Acer;48.5;4.7
3;Exclosure;Dark;Tilia;32.5;4.5
3;Exclosure;Dark;Tilia;47;5.6
3;Exclosure;Dark;Acer;67;7.9
3;Control;Dark;Acer;15;5.6
3;Control;Dark;Tilia;42;7.4
3;Control;Dark;Acer;45;6.2
3;Control;Dark;Tilia;38;7.7
3;Control;Dark;Acer;25;6.8
3;Control;Dark;Carpinus;36;5
3;Control;Dark;Tilia;36;7.2
3;Control;Dark;Tilia;47;8.2
3;Control;Dark;Carpinus;40;6.6
3;Control;Dark;Tilia;47;7.7
3;Exclosure;Light;Carpinus;174;7.5
3;Exclosure;Light;Picea;126;18.4
3;Exclosure;Light;Tilia;75;9.2
3;Exclosure;Light;Acer;140;15
3;Exclosure;Light;Acer;119;11.1
3;Exclosure;Light;Picea;90;14.9
3;Exclosure;Light;Tilia;146;20.1
3;Exclosure;Light;Carpinus;250;25.7
3;Exclosure;Light;Quercus;85;8.4
3;Exclosure;Light;Quercus;104;12.8
3;Exclosure;Light;Acer;241;16.8
3;Exclosure;Light;Carpinus;200;20.3
3;Exclosure;Light;Tilia;102;10.9
3;Exclosure;Light;Picea;122;19.9
3;Exclosure;Light;Acer;200;15.8
3;Exclosure;Light;Quercus;49;8.5
3;Exclosure;Light;Tilia;100;11.1
3;Exclosure;Light;Carpinus;157;17.1
3;Exclosure;Light;Picea;129;19.2
3;Exclosure;Light;Acer;253;20.8
3;Exclosure;Light;Carpinus;222;15.6
3;Exclosure;Light;Tilia;84;11.6
3;Exclosure;Light;Picea;129;19.2
3;Exclosure;Light;Quercus;65;7.2
3;Exclosure;Light;picea;78;13.6
3;Exclosure;Light;Acer;124;12.5
3;Exclosure;Light;Carpinus;42;5.3
3;Exclosure;Light;Tilia;106;12.5
3;Exclosure;Light;Quercus;103;11.6
3;Control;Light;Tilia;36;8.3
3;Control;Light;Tilia;48.5;10.7
3;Control;Light;Picea;50.5;11.1
3;Control;Light;Picea;44;NA
3;Control;Light;Tilia;45;6.8
3;Control;Light;Carpinus;54;9.9
3;Control;Light;Tilia;45;9.1
3;Control;Light;Picea;48;13.6
3;Control;Light;Acer;38;5.1
3;Control;Light;Acer;40;6.2
3;Control;Light;Tilia;38;6.9
3;Control;Light;Picea;30;NA
3;Control;Light;Carpinus;45;7.3
3;Control;Light;Picea;39;12.3
3;Control;Light;Carpinus;30.5;8.4
3;Control;Light;Carpinus;20;5.9
3;Control;Light;Carpinus;44;7.9
3;Control;Light;Picea;56;9.2
3;Control;Light;Acer;20;8
3;Control;Light;Tilia;40;11.4
3;Control;Light;Acer;51;6.1
3;Control;Light;Carpinus;NA;NA
4;Exclosure;Dark;Tilia;50;7.34
4;Exclosure;Dark;Acer;105;8.8
4;Exclosure;Dark;Carpinus;58;6.9
4;Exclosure;Dark;Quercus;31.5;6.1
4;Exclosure;Dark;Tilia;105;11.5
4;Exclosure;Dark;Acer;124;10.4
4;Exclosure;Dark;Carpinus;36.5;4.2
4;Exclosure;Dark;Tilia;68;8
4;Exclosure;Dark;Acer;178;12
4;Exclosure;Dark;Acer;119;9.5
4;Exclosure;Dark;Tilia;50;5.9
4;Exclosure;Dark;Tilia;115;14.5
4;Exclosure;Dark;Acer;149;12.5
4;Exclosure;Dark;Carpinus;44;6.8
4;Exclosure;Dark;Quercus;76.5;8.2
4;Exclosure;Dark;Acer;140;11.9
4;Exclosure;Dark;Tilia;69;8
4;Control;Dark;Acer;27;5.8
4;Control;Dark;Acer;45;6.9
4;Control;Dark;Carpinus;36;6.9
4;Control;Dark;Quercus;65;10.2
4;Control;Dark;Tilia;76;10
4;Control;Dark;Tilia;49;6.7
4;Control;Dark;Carpinus;27.5;10.8
4;Control;Dark;Picea;41;9
4;Control;Dark;Tilia;65;8.6
4;Control;Dark;Tilia;42;8.9
4;Control;Dark;Quercus;54;5.2
4;Control;Dark;Acer;48.5;5.8
4;Control;Dark;Picea;41.5;8.4
4;Control;Dark;Picea;29;8.6
4;Control;Dark;Quercus;46.5;6.3
4;Control;Dark;Acer;45.5;5.6
4;Control;Dark;Picea;26;NA
4;Control;Dark;Acer;32;7.4
4;Exclosure;Light;Acer;134;18.2
4;Exclosure;Light;Picea;79;11.4
4;Exclosure;Light;Carpinus;230;15.8
4;Exclosure;Light;Tilia;145;23.1
4;Exclosure;Light;Acer;60;7.9
4;Exclosure;Light;Tilia;133;12.9
4;Exclosure;Light;Picea;114;19.7
4;Exclosure;Light;Tilia;149;18.9
4;Exclosure;Light;Carpinus;209;8.9
4;Exclosure;Light;Acer;145;12.1
4;Exclosure;Light;Picea;100;21
4;Exclosure;Light;Quercus;181;22.6
4;Exclosure;Light;Tilia;198.5;29.2
4;Exclosure;Light;Tilia;123.5;16.1
4;Exclosure;Light;Picea;50;8.5
4;Exclosure;Light;Picea;107.5;12.6
4;Exclosure;Light;Carpinus;181;15.2
4;Exclosure;Light;Acer;112.5;12.1
4;Exclosure;Light;Carpinus;160;18.9
4;Exclosure;Light;Acer;148;10.6
4;Exclosure;Light;Picea;113.5;21
4;Exclosure;Light;Quercus;132;10.6
4;Exclosure;Light;Tilia;147;15.3
4;Exclosure;Light;Acer;141;10.3
4;Exclosure;Light;Quercus;190;23.1
4;Exclosure;Light;Quercus;159;16.6
4;Exclosure;Light;Quercus;117;14
4;Exclosure;Light;Quercus;160;18.1
4;Control;Light;Acer;51;8.1
4;Control;Light;Tilia;47;11.9
4;Control;Light;Quercus;65;11.8
4;Control;Light;Picea;40;13.7
4;Control;Light;Tilia;40;11.2
4;Control;Light;Carpinus;57;14.3
4;Control;Light;Tilia;65.5;13.2
4;Control;Light;Quercus;54;6.8
4;Control;Light;Tilia;52.5;11.7
4;Control;Light;Tilia;52;14.8
4;Control;Light;Carpinus;50;14.3
4;Control;Light;Picea;56;12.2
4;Control;Light;Quercus;69;7.8
4;Control;Light;Picea;61;12.7
4;Control;Light;Acer;39.5;7.3
4;Control;Light;Tilia;52.5;14.7
4;Control;Light;Acer;29.5;4.5
4;Control;Light;Quercus;49;13.1
4;Control;Light;Picea;43;13.5
4;Control;Light;Picea;73;17.9
4;Control;Light;Carpinus;47;12
4;Control;Light;Picea;90;22
5;Exclosure;Dark;Carpinus;53;6.7
5;Exclosure;Dark;Acer;75;6.8
5;Exclosure;Dark;Picea;30.5;9.5
5;Exclosure;Dark;Tilia;48;8
5;Exclosure;Dark;Quercus;70;6.5
5;Exclosure;Dark;Picea;48.5;8.8
5;Exclosure;Dark;Acer;90;8.6
5;Exclosure;Dark;Carpinus;28.5;5.9
5;Exclosure;Dark;Tilia;59;7.1
5;Exclosure;Dark;Tilia;73;10.9
5;Exclosure;Dark;Acer;71;7.1
5;Exclosure;Dark;Picea;70;10
5;Exclosure;Dark;Quercus;NA;NA
5;Exclosure;Dark;Acer;115.5;9.3
5;Exclosure;Dark;Carpinus;26;3.9
5;Exclosure;Dark;Picea;41;10.5
5;Exclosure;Dark;Quercus;NA;NA
5;Exclosure;Dark;Tilia;70;8.3
5;Exclosure;Dark;Carpinus;38;8.9
5;Exclosure;Dark;Tilia;59;8.5
5;Exclosure;Dark;Acer;154;13.9
5;Exclosure;Dark;Quercus;NA;NA
5;Exclosure;Dark;Picea;44.5;8.1
5;Exclosure;Dark;Tilia;55;12.3
5;Exclosure;Dark;Carpinus;47;6.1
5;Exclosure;Dark;Acer;57;7.3
5;Exclosure;Dark;Picea;39.5;7.4
5;Control;Dark;Carpinus;27;3.5
5;Control;Dark;Acer;56;6.3
5;Control;Dark;Tilia;71.5;9.2
5;Control;Dark;Picea;42.5;11.2
5;Control;Dark;Acer;42;5.9
5;Control;Dark;Picea;39;3.7
5;Control;Dark;Carpinus;27.5;4.6
5;Control;Dark;Tilia;32;7
5;Control;Dark;Acer;25.5;5.7
5;Control;Dark;Tilia;26;7.8
5;Control;Dark;Picea;53;11.7
5;Control;Dark;Acer;38;6.8
5;Control;Dark;Carpinus;28;6.5
5;Control;Dark;Tilia;40;9.9
5;Control;Dark;Carpinus;48;4.4
5;Control;Dark;Tilia;38.5;7.6
5;Control;Dark;Picea;48.5;7.4
5;Control;Dark;Acer;28.5;5
5;Control;Dark;Carpinus;18.5;4.2
5;Control;Dark;Tilia;22;3.5
5;Exclosure;Light;Quercus;133;13.9
5;Exclosure;Light;Carpinus;170;15.3
5;Exclosure;Light;Acer;150;11.2
