Site;Fence;Gap;Species;H9;S9;D9
5;Exclosure;Dark;Acer;40;40;4.9
5;Exclosure;Dark;Acer;40.5;40.5;5.6
5;Exclosure;Dark;Acer;43.5;43.5;5.5
5;Exclosure;Dark;Acer;49;49;7
5;Exclosure;Dark;Acer;50;50;8.5
5;Exclosure;Dark;Carpinus;11.5;11.5;3.7
5;Exclosure;Dark;Carpinus;17.5;17.5;3.5
5;Exclosure;Dark;Carpinus;21.5;22.5;7.3
5;Exclosure;Dark;Carpinus;25;25;5.4
5;Exclosure;Dark;Carpinus;30;30;5.9
5;Exclosure;Dark;Carpinus;30.5;30.5;6.9
5;Exclosure;Dark;Picea;28.5;28.5;7.1
5;Exclosure;Dark;Picea;30;26;9.9
5;Exclosure;Dark;Picea;34;34;7.7
5;Exclosure;Dark;Picea;34;36.5;11.2
5;Exclosure;Dark;Picea;37;37;5.5
5;Exclosure;Dark;Picea;42.5;42.5;10.6
5;Exclosure;Dark;Quercus;41;41;5.3
5;Exclosure;Dark;Quercus;44;44;7
5;Exclosure;Dark;Quercus;47;40.5;8
5;Exclosure;Dark;Quercus;52.5;54;6.8
5;Exclosure;Dark;Quercus;56.5;56.5;6.2
5;Exclosure;Dark;Quercus;77;77;8.4
5;Exclosure;Dark;Tilia;28;28;5.1
5;Exclosure;Dark;Tilia;30;30;9.1
5;Exclosure;Dark;Tilia;43.5;44;5.2
5;Exclosure;Dark;Tilia;53;31;10.9
5;Exclosure;Dark;Tilia;53.5;38;10.4
5;Exclosure;Dark;Tilia;54.5;55.5;7.1
5;Exclosure;Light;Acer;25;25;4.3
5;Exclosure;Light;Acer;37.5;38.5;6.2
5;Exclosure;Light;Acer;39;39;5.2
5;Exclosure;Light;Acer;43.5;43.5;5.3
5;Exclosure;Light;Acer;47;47;6.4
5;Exclosure;Light;Acer;62.5;62.5;6.9
5;Exclosure;Light;Carpinus;19;19;6.5
5;Exclosure;Light;Carpinus;21;21;5.2
5;Exclosure;Light;Carpinus;21.5;21.5;5.4
5;Exclosure;Light;Carpinus;22;22;5.5
5;Exclosure;Light;Carpinus;26;26;5
5;Exclosure;Light;Carpinus;26;26;4.2
5;Exclosure;Light;Picea;29;29;7.7
5;Exclosure;Light;Picea;29;29;8.2
5;Exclosure;Light;Picea;30.5;30.5;8.1
5;Exclosure;Light;Picea;31;31;7.9
5;Exclosure;Light;Picea;33.5;33.5;7.1
5;Exclosure;Light;Picea;52;52;10.3
5;Exclosure;Light;Quercus;45;39;7.9
5;Exclosure;Light;Quercus;52.5;52.5;7.8
5;Exclosure;Light;Quercus;55.5;56.5;9
5;Exclosure;Light;Quercus;65.5;39;7.1
5;Exclosure;Light;Quercus;67.5;67.5;7.9
5;Exclosure;Light;Quercus;74;50;8.1
5;Exclosure;Light;Tilia;23.5;23.5;6
5;Exclosure;Light;Tilia;28;28;6.6
5;Exclosure;Light;Tilia;32;32;7
5;Exclosure;Light;Tilia;36;36;6.2
5;Exclosure;Light;Tilia;36;37;8.4
5;Exclosure;Light;Tilia;40.5;40.5;5.5
